EST1,EST2,EST3,SST1,SST2,SST3,BEQ1,BEQ2,BEQ3,BEQ4,BEQ5,BEQ6,BEQ7,BEQ8,BEQ9,BEQ10,RVL1,RVL2,RVL3,RVL4,RVL5,COR1,COR2,COR3,COR4,COR5,COR6,COR7,COR8,COR9,ICT1,ICT2,ICT3,ICT4,SUS1,SUS2,SUS3,SUS4,SUS5,SUS6,SUS7,SUS8,SUS9,SUS10,SUS11,SUS12,SUS13,SUS14,SUS15,SUSA,SUSB,SUSC
7,6,4,3,3,3,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,5,7,6,7,4,4,4,5,6,6,7,6,3,3,1,6,7,5,5,3,7,7,7,-1.0799685278027575,-0.8039471250637418,0.8619847303091158
6,6,7,7,6,6,6,5,5,3,4,6,5,5,5,5,7,6,6,6,5,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,7,5,6,6,7,5,5,5,6,7,6,0.0343885455116565,-0.16378249946377013,0.05809347952343144
6,6,7,7,6,5,7,6,5,2,3,5,2,2,2,2,7,7,7,6,6,6,5,5,5,4,6,6,5,6,6,5,5,7,6,6,6,6,6,6,6,7,7,5,5,5,7,7,7,0.6167262548652348,-0.16378249946377013,0.8619847303091158
6,6,4,5,5,5,6,5,5,1,2,7,2,2,1,1,7,7,7,7,7,6,6,5,5,7,5,7,6,7,4,4,4,5,6,6,7,3,3,1,6,7,5,5,3,3,7,7,7,-0.9786182953906952,-1.3653801603266948,0.8619847303091158
5,5,5,5,5,5,7,6,6,4,5,6,5,5,5,5,7,6,6,6,4,5,5,5,5,4,5,5,4,4,2,3,4,5,5,5,5,5,5,5,5,5,7,4,4,4,6,6,6,-0.5565888469613837,-0.9925998106432063,-0.5699893294414762
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,6,7,6,6,5,5,5,7,4,4,4,4,4,4,4,6,6,6,6,6,7,7,7,-1.3247202193412346,0.665034811715666,0.8619847303091158
6,6,6,6,6,6,7,6,6,4,4,5,3,3,3,3,7,7,7,6,6,3,4,4,5,4,5,5,4,5,3,3,4,5,5,5,5,5,5,5,5,5,7,4,4,4,7,7,7,-0.5565888469613837,-0.9925998106432063,0.8619847303091158
6,6,5,5,5,5,6,5,5,2,3,5,3,3,3,3,7,6,6,6,6,4,5,6,6,5,6,6,4,5,4,3,4,4,4,4,6,5,2,2,2,5,5,4,4,4,5,5,5,-2.133802983140375,-0.9925998106432063,-2.0019633891920683
6,6,6,6,6,6,5,5,6,5,5,6,6,5,6,5,6,6,6,6,6,6,6,4,6,7,7,7,4,7,5,5,5,5,4,4,4,4,4,5,5,6,6,5,4,4,5,5,5,-1.038433662837693,-0.7645813298952326,-2.0019633891920683
6,6,6,6,6,7,5,6,6,4,4,6,4,4,4,4,6,6,6,6,5,5,5,5,5,4,5,5,4,4,4,3,4,5,5,6,6,6,6,5,5,7,7,5,5,5,7,7,7,0.1789169902517161,-0.16378249946377013,0.8619847303091158
5,5,5,4,5,5,7,6,7,7,6,7,4,5,4,5,7,6,6,7,7,6,6,6,6,6,7,7,5,6,5,5,4,6,7,7,7,7,7,7,7,7,7,5,5,5,7,7,7,1.5199188703940083,-0.16378249946377013,0.8619847303091158
4,4,4,4,4,4,7,5,5,2,4,5,4,4,4,4,7,7,6,6,6,6,5,5,6,4,6,6,5,6,4,3,3,5,4,4,5,5,5,4,4,7,7,4,4,4,7,7,7,-0.8522816989726607,-0.9925998106432063,0.8619847303091158
